,movieId,95%_least_plausible,title,genres
0,318.0,4.424716159439715,"Shawshank Redemption, The (1994)",Crime|Drama
1,159817.0,4.409009002379197,Planet Earth (2006),Documentary
2,858.0,4.333404159977825,"Godfather, The (1972)",Crime|Drama
3,50.0,4.294586903786624,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
4,170705.0,4.261164388830827,Band of Brothers (2001),Action|Drama|War
5,527.0,4.260872814749831,Schindler's List (1993),Drama|War
6,1221.0,4.255611660953776,"Godfather: Part II, The (1974)",Crime|Drama
7,2019.0,4.241916012090201,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
8,2959.0,4.224586031484682,Fight Club (1999),Action|Crime|Drama|Thriller
9,904.0,4.222812389712747,Rear Window (1954),Mystery|Thriller
10,1193.0,4.222267119086716,One Flew Over the Cuckoo's Nest (1975),Drama
11,1203.0,4.220344539558018,12 Angry Men (1957),Drama
12,912.0,4.205476911219681,Casablanca (1942),Drama|Romance
13,750.0,4.203839935582489,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
14,908.0,4.195018159188828,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
15,5618.0,4.191798114422582,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
16,1212.0,4.191273704407198,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
17,44555.0,4.183499451356618,"Lives of Others, The (Das leben der Anderen) (2006)",Drama|Romance|Thriller
18,922.0,4.182490279756793,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
19,3435.0,4.181337478960908,Double Indemnity (1944),Crime|Drama|Film-Noir
20,1178.0,4.177504296439381,Paths of Glory (1957),Drama|War
21,6016.0,4.177178174769128,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
22,58559.0,4.174354058561252,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
23,1213.0,4.170633029151486,Goodfellas (1990),Crime|Drama
24,296.0,4.164452904779761,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
25,2324.0,4.156789991830607,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
26,3030.0,4.154336614780582,Yojimbo (1961),Action|Adventure
27,79132.0,4.154074528037052,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
28,926.0,4.1526291809163505,All About Eve (1950),Drama
29,4226.0,4.1502152894310385,Memento (2000),Mystery|Thriller
30,2571.0,4.148447062361559,"Matrix, The (1999)",Action|Sci-Fi|Thriller
31,1136.0,4.14723339100402,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
32,593.0,4.147042107018926,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
33,930.0,4.146847787781017,Notorious (1946),Film-Noir|Romance|Thriller
34,1252.0,4.146435140358076,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
35,1207.0,4.145719610013755,To Kill a Mockingbird (1962),Drama
36,1284.0,4.1440033546179205,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery
37,1260.0,4.139388514945514,M (1931),Crime|Film-Noir|Thriller
38,2329.0,4.13813240495324,American History X (1998),Crime|Drama
39,1234.0,4.13621676014459,"Sting, The (1973)",Comedy|Crime
40,1196.0,4.135933526983223,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
41,1248.0,4.134504083255069,Touch of Evil (1958),Crime|Film-Noir|Thriller
42,5971.0,4.1317436254505875,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy
43,1198.0,4.12845150213172,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
44,260.0,4.126295324141088,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
45,1217.0,4.124362104608375,Ran (1985),Drama|War
46,2858.0,4.12425502380549,American Beauty (1999),Drama|Romance
47,1197.0,4.1235836922922395,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
